name:scheme_id:created_at:id
yumbe:c5fab09f-ed1d-4267-a3f9-08b28b8fa979:"2023-03-14T23:44:26.470+03:00":8d3f58b7-95d4-495f-a939-c49ff7fca442
yumbe:ee6300f1-f513-43a6-b367-e6ce08c3454e:"2023-03-14T23:50:32.695+03:00":ca15f466-2817-4c3a-a905-433ae9c7c391
terego:13cfc89c-3cb7-4942-a730-f9afae036782:"2023-03-14T23:51:50.629+03:00":1245ebed-23cf-4548-b876-587d9b4f1237
arua:0cc1f5a3-2bf6-4506-8a63-e0691d9f953a:"2023-03-14T23:52:51.216+03:00":1ee984a3-1eee-4b4d-82e7-db7ad6f5bc01
madi:535af1c0-c279-4dff-b5c9-d7f6c61f786d:"2023-03-16T10:03:54.127+03:00":5dff76bb-3254-4d50-9b9b-c3b787597a01
